time	motion	power_consumption	acoustic_pressure_dB	door_opening	label
2015-05-08 08:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 09:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 09:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 10:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 10:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 11:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 11:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 12:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 12:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 13:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 13:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 14:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 14:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 15:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 15:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 16:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 16:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 17:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 17:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 18:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 18:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 19:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 19:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 20:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 20:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 21:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 21:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 22:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 22:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 23:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 23:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 00:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 00:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 01:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 01:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 02:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 02:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 03:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 03:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 04:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 04:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 05:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 05:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 06:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 06:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 07:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 07:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 08:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 08:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 09:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 09:30:00	2.000000	0.000000	0.001000	0.287851	0.000000
2015-05-09 10:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 10:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 11:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 11:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 12:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 12:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 13:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 13:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 14:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 14:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 15:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 15:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 16:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 16:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 17:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 17:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 18:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 18:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 19:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 19:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 20:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 20:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 21:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 21:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 22:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 22:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 23:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-09 23:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 00:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 00:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 01:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 01:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 02:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 02:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 03:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 03:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 04:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 04:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 05:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 05:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 06:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 06:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 07:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 07:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 08:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 08:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 09:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 09:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 10:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 10:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 11:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 11:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 12:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
